"","Nov","Div","Dit","LEA","L_A","AES","E_I","ENT","RES","EMO","I_S","PRA","O_P","MET","FAC","I_E","FAM","DEF","G_M","INT","S_S","V_S","T_M","REN","SOC","DIS","HAR","T_E"
"234",7,8,6,10,6,5,7,4,3,4,7,7,5,5,9,1,6,6,5,8,6,5,7,10,8,9,9,7
"235",3,3,5,8,3,4,5,3,6,6,7,7,4,7,6,3,6,4,4,7,5,7,7,9,9,8,7,6
"236",7,6,8,7,6,5,8,6,6,2,7,6,7,7,8,4,9,6,6,6,5,5,7,8,10,5,10,5
"237",4,8,6,2,4,2,6,8,6,3,5,10,7,5,2,3,7,2,8,6,6,10,7,10,7,8,13,8
"238",8,8,5,9,5,5,10,4,2,9,7,2,5,4,8,5,8,8,6,3,2,4,9,10,10,5,9,3
"239",5,6,7,9,6,6,7,3,6,5,12,8,8,6,8,2,6,10,2,4,7,6,10,10,10,10,10,5
"240",10,10,5,10,2,4,10,7,3,7,4,5,5,4,10,5,7,5,7,8,4,8,2,10,8,5,6,3
"241",5,6,5,6,7,5,5,7,6,7,6,6,3,3,7,3,5,8,2,3,7,4,7,8,5,6,10,6
"242",7,7,7,9,8,4,8,2,3,3,10,8,5,4,8,2,7,7,4,5,9,4,10,11,9,9,8,6
"243",8,8,9,5,7,5,6,6,5,7,7,9,3,5,5,5,6,3,7,10,6,8,5,9,7,7,11,8
"244",4,6,7,5,4,5,4,8,4,6,10,7,4,7,7,6,4,7,6,7,7,5,9,8,8,6,10,3
"245",7,6,5,6,8,4,6,5,6,5,6,9,8,4,7,4,4,6,4,3,7,6,8,7,4,6,7,5
"246",5,6,7,5,4,4,8,4,7,5,6,10,2,5,4,5,5,3,3,5,4,7,8,6,4,6,5,5
"247",2,8,8,8,4,7,5,2,7,7,6,6,4,7,5,5,5,2,5,6,5,5,6,9,7,10,11,7
"248",5,6,3,4,3,8,8,5,6,3,7,9,3,7,7,5,7,2,5,4,6,6,6,8,4,4,7,6
"249",6,1,7,4,4,7,5,6,6,5,7,6,1,6,4,5,7,5,2,6,7,4,6,9,8,6,6,3
"250",6,6,6,6,4,4,2,4,2,7,11,5,5,7,6,4,6,5,5,5,5,3,7,6,3,6,4,4
"251",5,3,3,1,5,2,0,5,9,1,5,11,7,6,8,3,9,3,8,5,4,8,12,10,6,6,11,7
"252",5,3,5,7,6,4,3,4,5,6,7,8,5,8,7,5,2,4,4,6,6,5,7,7,4,6,5,8
"253",3,6,7,5,6,4,6,6,2,6,10,9,5,7,9,5,5,7,5,7,7,3,10,8,9,9,7,4
"254",5,8,6,8,8,7,8,7,5,4,4,11,7,8,5,8,10,4,8,6,3,8,6,11,10,6,9,4
"255",9,8,7,5,8,4,6,7,6,3,1,10,7,6,6,6,9,0,8,6,1,9,8,7,6,8,12,7
"256",8,5,6,8,5,8,6,9,5,6,2,5,9,6,4,3,6,5,7,5,7,8,7,6,6,8,10,4
"257",4,4,1,2,2,3,5,5,4,0,9,11,6,6,9,7,10,4,7,8,2,10,10,8,6,8,12,5
"258",8,6,8,5,7,5,10,7,10,0,1,11,8,9,4,5,9,2,7,9,3,9,7,9,7,6,13,7
"259",6,4,8,6,4,7,5,3,3,5,7,10,7,4,4,5,7,6,6,4,6,6,10,10,4,7,8,3
"260",8,7,6,3,6,4,3,3,4,5,7,7,5,8,8,5,8,1,8,7,6,9,9,11,8,3,11,9
"261",5,4,3,4,7,2,8,6,5,3,4,11,7,8,4,2,9,2,6,7,3,10,6,8,6,5,11,4
"262",6,4,5,5,6,2,6,5,6,2,10,6,5,7,3,6,6,3,7,7,4,6,10,9,7,4,5,5
"263",5,8,3,5,3,6,4,4,8,5,2,8,3,5,5,5,7,2,9,5,2,4,8,2,4,3,10,3
"264",8,6,9,8,6,4,5,5,10,1,3,10,9,9,6,3,8,2,6,4,5,4,9,8,9,11,12,8
"265",6,7,5,6,5,8,7,7,7,3,3,7,8,6,5,6,8,2,5,8,4,6,8,8,8,3,12,5
"266",9,8,8,8,6,3,10,7,8,3,1,7,8,9,7,5,9,8,4,5,4,3,9,7,10,8,11,2
"267",1,5,5,4,2,1,8,2,7,5,7,10,4,9,5,6,9,4,8,9,1,8,11,9,8,8,12,9
"268",8,5,8,5,4,6,8,8,7,2,7,7,9,8,9,4,6,3,9,5,7,9,9,7,9,7,11,7
"269",9,7,6,8,7,9,8,7,7,4,9,6,7,6,7,1,6,5,5,6,6,3,11,10,10,7,7,2
"270",3,5,3,4,3,3,5,6,7,7,7,4,6,2,3,8,8,3,8,4,2,6,7,5,3,2,9,7
"271",5,6,5,8,5,4,4,3,5,8,7,6,3,3,5,2,5,8,3,2,4,6,8,3,8,10,9,4
"272",4,4,4,4,3,2,8,7,3,4,11,7,7,5,4,7,5,3,6,5,2,5,7,7,3,4,5,3
"273",4,6,5,6,4,6,2,7,7,6,8,4,7,5,7,3,8,5,7,7,5,6,7,7,3,2,7,3
"274",4,2,4,3,3,3,5,6,5,4,7,7,5,6,5,6,4,1,8,7,2,5,9,7,2,2,5,6
"275",4,2,3,4,5,4,5,6,5,3,7,4,6,3,2,6,3,4,8,6,2,4,6,3,6,5,7,3
"276",3,3,5,3,3,3,6,4,2,4,7,7,4,4,4,8,4,5,4,4,5,6,9,2,5,5,8,3
"277",3,7,7,6,3,4,8,4,2,8,14,5,5,2,8,2,3,7,2,4,4,2,8,6,9,4,10,5
"278",4,6,5,6,7,5,6,5,2,6,12,9,6,3,5,4,4,9,2,5,7,4,6,6,10,7,6,3
"279",7,8,6,7,5,8,7,8,6,5,7,9,7,6,7,5,4,5,6,5,4,5,9,9,11,7,11,7
"280",3,2,5,1,4,2,6,4,8,2,3,8,6,6,7,8,10,0,7,6,1,9,9,11,8,7,11,5
"281",6,3,2,5,5,4,4,6,8,3,7,6,5,6,7,8,7,2,8,6,2,5,8,3,2,3,7,3
"282",8,7,6,9,7,7,9,8,6,3,8,8,8,6,7,5,7,7,6,3,6,4,10,10,9,9,9,6
"283",8,8,8,8,6,5,8,5,7,5,8,10,7,7,7,6,5,5,2,8,6,5,11,11,9,9,10,7
"284",8,5,8,7,7,6,7,5,6,5,9,6,7,6,6,7,6,9,2,2,5,3,6,9,7,10,11,8
"285",5,7,6,7,5,6,4,4,7,3,10,7,9,8,10,3,7,7,6,3,8,3,9,11,8,9,9,8
"286",6,8,5,6,8,5,8,4,7,3,6,9,7,8,7,3,7,6,4,4,5,8,11,10,10,8,14,6
"287",7,6,6,6,10,6,10,8,9,2,1,8,10,9,5,5,8,4,8,7,4,9,9,9,5,9,13,6
"288",5,9,7,8,7,5,8,9,9,2,3,8,10,8,4,7,10,2,7,9,3,9,9,10,7,8,13,6
"289",7,8,8,7,8,6,7,6,9,4,8,10,6,8,7,7,7,3,5,8,5,9,8,11,11,11,13,8
"290",8,8,7,8,7,5,7,7,5,7,3,7,7,5,4,5,8,0,7,8,3,7,12,9,10,6,11,2
"291",3,6,6,6,8,6,9,8,8,1,2,7,8,5,5,5,9,5,7,8,1,9,7,7,9,3,11,7
"292",5,4,6,4,4,2,5,7,9,2,8,10,7,6,8,6,10,4,7,5,4,9,8,11,6,7,13,4
"293",8,8,5,8,6,5,8,8,6,1,3,8,7,7,7,4,8,4,8,5,3,9,11,9,10,8,11,6
"294",7,8,7,6,6,3,6,7,6,5,4,9,7,7,5,4,7,4,8,6,4,8,9,10,10,9,12,7
"295",7,6,7,8,4,5,5,5,4,6,12,10,6,6,7,3,3,6,6,5,8,6,10,9,9,7,5,5
"296",5,3,4,2,4,3,7,8,6,3,1,12,10,4,4,9,7,0,9,7,3,9,5,8,3,5,11,6
"297",8,8,7,9,7,5,8,9,6,2,3,10,10,8,6,4,10,5,7,6,7,5,7,9,10,9,13,4
"298",8,9,9,10,9,6,8,8,7,2,4,9,8,6,8,3,7,7,6,4,7,6,10,10,9,11,12,4
"299",8,8,9,10,8,6,8,8,6,2,3,10,8,6,8,3,7,8,6,4,7,6,10,10,10,11,12,4
"300",8,6,6,5,6,5,7,8,3,3,4,6,7,6,11,8,9,8,7,6,3,8,7,10,6,6,12,7
"301",9,8,8,9,9,7,9,8,6,1,5,10,9,6,7,3,8,9,5,6,8,5,10,10,10,11,10,5
"302",4,5,7,2,4,7,5,2,10,1,2,10,7,6,7,7,10,0,8,8,0,9,5,9,9,6,13,7
"303",5,5,5,5,5,6,3,5,7,3,6,8,4,4,4,3,3,4,7,3,7,5,6,5,5,5,9,4
"304",7,5,6,4,5,5,8,9,7,3,2,10,9,7,5,6,7,3,8,7,4,5,5,9,6,9,11,8
"305",8,7,7,10,9,4,8,9,6,3,1,10,9,6,7,4,10,5,8,8,7,5,7,9,11,9,12,5
"306",8,7,7,5,5,5,6,7,3,3,5,6,8,6,11,8,9,8,6,6,3,7,8,10,6,6,12,7
"307",3,7,4,2,5,9,4,6,9,2,4,9,6,8,8,6,9,0,10,10,6,9,4,10,5,6,13,3
"308",5,5,5,2,5,5,7,4,8,2,2,8,6,6,9,5,8,2,7,8,4,7,11,10,10,6,10,5
"309",9,6,6,2,4,4,7,4,9,3,1,9,7,7,9,4,8,3,9,5,3,6,11,11,11,6,12,6
"310",6,7,7,5,5,4,10,4,6,9,8,7,4,3,4,6,8,3,9,5,3,9,9,12,11,6,10,6
"311",7,8,6,7,8,5,8,5,5,6,11,8,4,5,4,1,9,8,6,6,9,6,6,9,10,8,9,7
"312",8,6,6,9,6,7,8,4,7,8,12,6,3,4,8,2,8,6,5,4,8,1,9,8,8,6,8,6
"313",7,7,6,10,7,7,7,4,5,5,11,8,5,4,6,4,7,5,3,5,7,4,9,9,8,9,9,10
"314",8,6,6,9,6,7,6,4,4,6,10,7,5,5,6,3,8,6,5,5,7,5,10,8,8,7,10,8
"315",8,8,7,9,6,7,6,4,4,7,11,8,6,6,6,2,7,6,5,6,7,7,10,9,8,6,9,8
"316",4,7,5,3,4,7,7,5,3,4,11,6,2,3,7,4,4,8,7,6,6,7,6,8,5,8,7,4
"317",7,8,6,7,8,5,7,7,9,4,1,7,9,5,7,5,9,3,10,9,2,9,3,9,8,2,11,3
"318",3,4,3,6,4,3,5,3,7,4,9,7,5,4,7,4,8,1,5,7,3,8,10,10,8,7,11,5
"319",4,6,5,5,5,5,6,5,4,4,7,7,4,5,6,5,8,3,5,5,2,7,7,5,3,5,8,4
"320",4,7,6,4,7,2,5,6,4,4,7,6,7,4,8,3,6,6,7,6,3,6,5,8,10,7,12,5
"321",6,8,7,8,6,7,7,5,5,7,13,4,5,4,8,2,4,10,2,3,9,2,9,9,9,7,8,2
"322",4,5,3,6,5,7,8,3,6,4,10,5,3,5,5,3,4,6,5,3,3,7,7,4,4,5,9,3
"323",7,7,5,2,5,5,5,9,8,2,3,8,7,6,6,6,9,3,8,5,3,9,9,9,7,8,11,2
"324",4,6,7,4,4,6,1,5,4,5,3,8,7,4,5,6,7,5,8,5,3,10,8,10,6,9,11,5
"325",2,3,8,3,6,2,7,7,6,2,3,9,7,4,3,6,7,0,9,7,1,9,7,9,8,4,11,6
"326",7,6,6,2,7,7,7,6,2,4,2,8,9,7,7,6,9,4,9,7,3,8,6,10,7,8,10,5
"327",6,7,6,2,4,6,4,4,5,4,3,12,9,7,2,5,7,1,9,7,4,7,8,10,8,7,13,6
"328",8,7,1,6,6,6,6,5,7,4,6,6,5,8,5,4,8,2,8,5,3,7,6,7,7,5,8,3
"329",6,8,7,7,6,6,10,9,7,2,2,9,10,9,8,3,10,2,7,9,3,4,6,9,10,4,13,5
"330",7,8,9,7,6,5,10,6,5,4,5,8,9,6,5,5,10,4,5,9,4,4,7,9,10,6,10,6
"331",9,9,8,8,7,8,8,7,9,0,2,8,9,7,7,5,10,3,9,8,2,6,8,10,9,8,14,4
"332",4,6,7,2,6,6,2,4,9,1,4,10,7,7,8,5,9,1,8,7,7,7,7,11,7,7,14,5
"333",8,7,7,7,8,7,7,6,7,3,8,9,7,7,5,3,6,5,3,6,6,7,11,11,7,8,11,4
"334",1,5,5,8,2,4,1,0,8,6,8,9,4,8,9,6,8,2,7,2,4,8,8,10,9,6,13,6
"335",8,6,6,6,4,5,5,3,5,6,7,9,7,4,7,3,2,6,3,5,5,6,6,9,7,8,5,6
"336",3,3,3,5,4,2,2,4,8,3,3,4,6,8,8,3,8,6,5,4,6,7,11,11,7,9,11,5
"337",3,6,7,3,5,6,3,4,7,3,7,10,7,9,6,6,7,6,7,8,3,8,6,10,10,9,14,8
"338",8,8,5,7,9,6,9,7,7,2,6,8,6,6,7,4,7,6,7,5,6,8,8,10,9,11,11,8
"339",6,9,3,2,3,3,3,4,0,7,6,4,8,3,2,3,9,0,10,8,2,5,3,8,9,2,12,1
"340",8,9,9,9,7,5,7,7,6,6,2,7,8,9,8,5,7,4,6,10,4,8,4,8,11,7,12,8
"341",8,10,7,9,8,9,7,6,7,2,4,10,8,5,6,4,10,3,5,8,6,9,9,11,11,8,8,6
"342",8,8,6,4,5,7,6,5,8,1,7,9,3,6,7,3,8,8,4,3,4,7,7,9,8,6,11,2
"343",7,6,7,9,6,7,6,4,3,6,14,5,4,5,8,2,3,10,1,3,10,3,10,10,10,10,8,7
"344",8,6,6,10,3,9,7,5,2,8,8,6,4,4,9,3,9,7,6,6,3,6,11,11,11,10,11,5
"345",8,9,9,8,9,9,8,3,4,7,3,7,4,9,6,5,8,4,8,4,3,4,7,11,11,8,14,7
"346",8,5,6,9,6,4,8,6,4,5,9,5,7,5,8,3,6,10,2,4,8,5,10,10,10,10,10,4
"347",8,9,7,5,7,9,1,6,7,1,4,12,7,7,4,5,10,3,8,8,1,10,7,10,8,5,13,9
"348",6,7,6,3,5,7,4,7,8,5,1,9,7,9,4,3,9,0,9,9,5,9,7,11,8,4,12,5
"349",10,8,3,4,2,6,5,4,2,5,4,6,5,2,8,6,4,5,4,4,6,7,2,11,7,7,10,4
"350",6,7,7,9,7,8,7,3,5,5,13,6,4,5,9,2,4,10,2,3,9,3,9,10,9,10,9,7
"351",5,2,8,5,7,4,5,1,3,7,8,8,5,4,7,8,9,1,10,6,2,10,8,10,11,6,11,9
"352",10,10,7,10,2,6,8,8,2,9,6,6,3,2,9,2,4,6,7,9,7,7,10,12,10,9,9,5
"353",7,7,7,9,7,8,5,6,5,5,12,6,4,6,8,3,4,10,3,3,10,3,10,10,9,10,8,7
"354",7,6,7,8,8,7,7,4,5,7,13,6,4,6,7,2,3,10,2,3,10,2,10,10,9,10,8,7
"355",7,6,7,9,6,6,6,5,5,6,12,7,4,6,6,2,4,10,1,3,8,3,10,10,10,10,8,6
"356",6,2,5,2,3,5,6,6,4,5,8,7,6,7,6,7,6,6,7,5,3,4,6,6,3,3,5,3
"357",4,4,3,4,4,6,3,3,7,5,6,9,5,7,7,2,6,5,4,6,4,5,7,8,6,3,12,6
"358",8,8,8,6,9,6,8,6,5,8,4,10,6,7,8,3,10,5,8,7,3,9,9,11,11,6,12,7
"359",10,10,8,10,9,6,10,6,9,3,0,12,10,8,5,7,9,0,9,9,3,10,5,10,9,6,14,7
"360",9,10,8,4,9,8,3,3,6,6,6,10,3,6,8,4,8,1,8,10,2,8,4,11,10,6,14,9
"361",5,9,7,5,6,5,9,6,8,3,2,6,7,8,3,3,8,3,9,8,2,8,3,10,10,5,10,8
"362",2,8,6,2,4,5,3,2,2,7,9,7,5,5,7,5,6,1,8,9,2,10,4,8,10,2,13,2
"363",8,9,7,5,5,4,10,5,6,5,1,9,9,4,2,7,9,0,9,10,3,10,4,10,11,3,13,6
"364",9,8,8,5,9,9,5,3,5,6,2,7,7,6,7,5,9,7,7,9,9,3,6,8,4,5,9,4
"365",9,8,6,9,8,6,8,9,8,1,7,8,6,8,8,4,10,6,6,3,7,8,11,11,10,11,10,5
"366",7,5,7,9,6,7,4,7,6,6,11,9,3,4,4,4,4,8,2,3,8,1,10,8,9,8,7,4
"367",2,7,8,5,7,5,6,4,6,5,10,8,5,7,4,4,6,5,4,4,4,7,3,7,7,5,7,3
"368",4,4,5,5,9,5,6,5,3,5,10,7,3,7,4,7,6,5,5,3,5,6,8,8,4,7,6,5
"369",6,5,7,7,4,9,6,6,5,5,11,11,7,5,9,2,6,6,4,4,8,4,11,10,10,11,10,5
"370",2,4,7,4,7,8,1,2,10,1,5,11,5,10,7,6,7,2,7,2,7,9,8,11,9,10,14,9
"371",3,3,2,8,6,3,8,2,8,2,5,7,3,6,6,7,7,3,9,4,3,9,10,9,9,10,13,8
"372",2,6,5,5,5,3,6,6,8,6,9,6,3,2,5,6,7,4,4,4,3,4,7,5,5,7,8,5
"373",9,9,8,5,10,7,10,7,7,2,2,6,8,10,8,5,10,4,3,8,3,1,6,11,7,5,12,6
"374",5,9,4,6,6,2,5,4,5,4,9,9,4,6,8,4,6,7,6,6,7,5,9,9,5,7,9,6
"375",5,6,4,8,4,6,5,6,5,6,10,7,3,3,9,3,4,8,3,6,5,7,9,6,8,9,5,3
"376",4,6,5,8,7,5,6,4,8,3,10,5,4,3,8,3,4,8,5,6,7,3,7,7,7,6,8,4
"377",7,7,7,8,8,5,5,7,8,6,11,6,5,7,7,2,4,8,4,4,7,4,8,11,7,8,9,7
"378",6,7,6,8,4,4,6,6,9,5,6,7,6,5,3,4,6,7,8,4,6,5,7,7,11,6,7,6
"379",9,9,10,6,9,4,8,7,7,3,2,10,5,9,7,8,8,0,9,10,3,10,9,9,10,9,12,9
"380",9,6,8,7,7,7,9,9,9,0,2,11,8,8,5,7,10,1,6,8,4,9,10,7,9,7,14,6
"381",6,4,5,3,5,6,4,4,7,4,6,7,5,5,5,6,8,6,5,7,5,6,7,7,6,8,7,6
"382",6,9,3,5,4,7,8,5,5,8,6,7,6,6,7,4,7,1,5,6,4,9,7,9,11,6,13,6
"383",3,4,1,0,3,3,5,5,6,5,7,9,6,9,5,3,10,2,7,10,3,8,9,6,6,7,12,3
"384",7,8,8,4,6,3,5,6,9,0,2,7,8,9,5,7,10,0,9,6,2,8,12,10,7,8,13,7
"385",5,5,5,4,4,6,5,4,6,5,10,9,6,3,7,5,6,4,5,3,6,5,9,9,8,4,8,6
"386",9,10,8,4,7,7,7,6,3,7,10,5,3,0,10,2,3,1,9,5,3,4,2,10,9,1,11,6
"387",6,8,9,6,7,5,0,3,8,7,8,7,3,5,10,4,10,1,7,9,6,9,8,12,7,9,11,8
"388",8,9,7,7,10,5,9,9,5,6,6,9,7,4,3,4,9,1,8,9,6,9,2,8,11,6,12,4
"389",5,8,5,3,8,8,6,2,5,6,9,5,2,5,11,6,7,9,2,6,8,3,7,10,10,8,12,7
"390",4,5,5,6,4,4,6,6,5,4,7,6,5,3,2,4,5,1,3,4,4,4,8,5,8,6,8,3
"391",6,6,7,8,5,2,4,3,5,4,6,7,7,4,8,3,6,6,4,10,7,3,4,5,9,5,9,6
"392",1,5,5,4,3,4,8,5,5,7,8,8,3,6,8,7,6,6,5,4,3,7,10,7,8,8,9,2
"393",5,3,5,6,5,3,4,6,5,6,9,8,6,4,6,4,7,5,3,5,3,4,8,5,5,5,5,3
"394",7,5,5,6,5,3,9,5,5,4,12,4,4,3,7,2,4,6,1,6,7,3,10,6,7,7,4,2
"395",8,6,8,3,8,6,7,4,4,6,6,4,8,6,6,6,7,6,8,8,2,9,4,9,8,5,12,7
"396",6,4,8,1,7,5,4,4,6,2,7,12,7,7,4,4,9,2,9,3,1,10,10,12,11,9,13,10
"397",3,6,3,5,5,4,6,4,5,9,7,3,7,4,4,8,7,4,6,7,1,7,8,7,5,2,9,4
"398",3,4,7,6,4,4,5,3,6,8,9,5,5,3,6,4,8,5,9,4,6,3,7,5,6,5,10,6
"399",5,5,6,3,4,4,5,4,5,7,10,8,8,8,6,8,5,6,7,5,4,5,9,9,7,6,8,4
"400",4,4,3,1,2,2,1,5,6,4,5,8,3,5,3,2,9,5,8,8,3,7,2,8,4,5,7,2
"401",4,3,3,2,4,2,5,5,8,2,7,8,6,4,0,7,7,1,9,6,2,9,5,7,5,4,11,5
"402",2,1,9,2,6,5,3,4,4,4,9,8,8,5,5,5,4,5,7,4,5,6,8,7,5,4,8,4
"403",5,6,2,3,5,3,5,5,8,0,3,8,9,4,3,5,8,1,9,7,1,7,6,6,5,2,10,3
"404",7,7,6,4,4,6,7,5,4,5,12,6,5,7,6,7,5,6,5,8,7,3,8,7,5,8,6,8
"405",6,5,7,5,5,4,5,8,6,7,10,4,6,6,8,4,3,6,4,6,7,4,9,6,8,3,6,4
"406",3,3,4,1,3,5,3,6,6,3,3,7,6,7,3,6,7,0,9,6,2,9,7,5,3,2,8,3
"407",4,3,4,3,3,2,5,4,5,3,6,9,8,7,2,6,9,2,10,6,1,9,6,7,2,5,10,4
"408",5,5,5,6,7,7,5,8,3,6,8,5,5,6,6,4,3,6,5,5,4,4,9,8,8,6,7,3
"409",2,7,5,5,5,7,8,7,4,5,10,7,2,4,5,5,7,6,3,3,7,7,8,7,5,5,9,5
"410",5,5,6,7,8,6,2,7,6,5,12,5,6,6,5,3,4,7,3,5,4,4,8,5,7,5,8,6
"411",6,6,4,6,6,3,5,4,3,4,12,7,5,5,8,3,5,8,6,6,6,4,11,10,6,4,7,4
"412",4,5,5,6,5,6,7,6,7,3,5,10,8,3,8,1,5,4,5,6,5,8,8,4,5,6,6,6
"413",6,7,8,5,3,5,5,5,5,8,10,3,4,5,6,4,5,6,2,6,6,6,8,5,6,5,6,5
"414",5,3,6,5,5,5,7,4,7,6,10,4,7,4,5,5,4,4,4,7,6,3,7,3,5,3,10,9
"415",6,4,5,5,6,4,4,4,2,5,11,7,4,6,4,2,5,6,4,5,6,6,10,8,7,5,7,4
"416",4,3,6,5,6,6,4,3,6,4,13,6,6,7,9,3,4,7,4,7,4,8,8,6,6,8,6,2
"417",7,8,5,10,7,4,6,4,7,7,3,7,5,6,8,4,8,2,5,3,6,5,7,10,8,8,11,6
"418",4,5,5,6,4,5,4,5,5,5,9,9,3,5,5,7,3,8,4,6,5,5,8,7,9,4,7,4
"419",2,5,8,5,7,6,6,4,4,6,12,4,6,7,3,3,3,6,6,7,6,6,7,7,6,4,9,6
"420",4,7,6,4,7,4,6,5,4,6,11,5,5,10,6,5,4,5,4,5,3,6,8,6,6,6,7,3
"421",6,5,5,6,5,5,6,4,4,5,8,4,6,6,4,6,6,6,4,5,5,5,8,8,5,6,4,3
"422",3,5,6,5,4,6,3,7,1,6,9,7,3,4,5,3,4,6,5,2,8,3,9,9,7,4,6,5
"423",4,6,6,7,4,7,5,6,5,6,10,6,7,2,6,6,2,6,8,6,3,4,10,9,7,8,6,6
"424",7,5,3,2,6,4,4,4,2,4,11,3,5,4,6,5,4,6,4,8,3,7,8,5,7,3,6,3
"425",6,5,5,5,9,6,5,4,5,6,13,6,5,7,8,4,3,4,6,3,8,5,10,8,7,6,8,3
"426",6,5,6,5,4,6,2,7,3,5,9,7,8,5,7,1,6,7,4,6,5,3,9,8,7,4,5,2
"427",5,6,5,8,5,6,3,5,5,3,11,8,4,6,6,3,5,6,4,5,7,5,8,6,6,8,6,7
"428",6,5,7,8,7,8,6,4,5,7,12,7,5,5,4,3,3,8,1,4,9,2,10,7,10,10,7,5
"429",9,8,7,9,8,9,5,7,7,1,4,7,8,6,5,6,8,8,9,7,7,5,11,11,11,10,9,3
"430",7,5,8,9,6,8,5,3,5,7,11,6,5,5,6,2,3,9,2,4,10,2,9,9,9,9,9,7
"431",6,6,8,9,7,7,6,5,5,6,12,5,5,5,7,2,2,9,2,5,10,2,7,9,7,9,9,8
"432",5,7,5,9,6,6,7,5,4,7,12,7,6,6,9,5,2,7,1,3,9,2,8,7,9,11,8,6
"433",4,3,5,2,3,2,3,5,6,3,6,9,4,8,3,4,7,1,9,6,0,8,9,9,6,4,10,8
"434",9,8,7,8,7,8,8,7,5,4,8,10,5,4,5,4,8,4,5,7,7,3,11,10,10,10,9,4
"435",4,2,3,4,2,5,3,5,4,2,7,8,6,6,4,5,7,2,6,6,1,6,6,6,7,1,9,6
"436",7,6,10,9,8,6,8,6,8,4,2,8,9,7,2,6,8,1,9,8,6,9,9,9,11,8,12,5
"437",3,5,3,4,7,4,5,4,7,4,6,5,3,4,2,6,5,5,6,5,4,6,9,5,4,6,6,6
"438",4,5,6,3,5,5,4,8,5,5,13,7,4,6,6,2,7,8,4,5,7,3,8,8,9,8,9,5
"439",7,6,6,7,6,7,5,4,5,5,7,7,7,6,7,3,6,7,4,3,7,5,11,10,10,8,7,9
"440",8,5,8,9,8,6,10,8,10,0,1,11,10,9,6,5,10,4,9,3,4,9,11,7,10,9,13,6
"441",5,6,5,8,7,6,6,6,6,6,12,7,4,4,5,4,5,8,2,4,6,3,9,9,7,9,9,5
"442",6,6,6,3,7,8,5,4,9,3,7,11,9,9,5,5,9,4,9,9,6,9,11,9,10,10,12,6
"443",9,7,8,5,6,6,8,8,9,1,1,11,8,8,6,2,9,3,9,10,3,10,10,6,9,8,14,7
"444",4,7,8,8,8,6,6,4,5,5,12,9,3,4,6,3,5,7,3,3,8,4,8,7,7,8,7,5
"445",5,6,9,8,3,6,7,8,7,2,6,9,8,7,5,4,6,1,5,6,8,6,8,6,5,6,9,7
"446",8,6,9,4,7,9,8,6,8,2,0,10,8,7,5,5,7,4,10,7,5,9,9,7,10,4,11,5
"447",9,9,10,9,9,6,9,10,10,3,1,7,9,5,6,10,8,1,8,9,4,9,4,7,9,4,12,6
"448",5,9,6,6,8,9,3,7,9,5,8,8,6,5,7,5,7,7,3,5,6,7,5,11,9,7,10,6
"449",7,8,4,4,4,4,7,5,7,5,2,5,6,5,4,3,5,4,7,7,4,6,8,10,8,4,12,8
"450",9,8,9,6,9,7,9,7,9,2,3,11,7,6,3,4,5,4,7,9,5,6,10,10,11,8,13,8
"451",6,7,9,8,5,5,6,4,8,0,7,8,3,5,8,4,6,3,7,5,5,6,8,12,7,5,12,8
"452",5,6,5,1,5,6,7,4,4,9,10,7,6,3,3,3,3,2,8,5,8,7,9,8,6,7,11,8
"453",7,7,8,10,6,9,7,5,7,5,8,10,8,5,8,4,6,9,5,3,4,7,11,10,9,8,8,5
"454",5,6,6,8,4,8,3,6,6,2,10,8,6,5,6,3,7,5,5,7,6,4,7,9,7,7,10,4
"455",8,7,4,8,3,5,6,6,8,3,3,5,7,8,5,5,7,1,10,7,3,7,3,9,5,4,9,3
"456",2,7,6,1,7,9,4,1,7,5,9,5,1,7,6,5,9,1,7,9,4,9,8,12,8,5,11,8
"457",8,7,8,6,7,6,10,7,4,4,5,4,5,3,5,5,9,0,10,10,3,8,4,10,10,5,9,0
"458",10,10,7,8,7,5,8,7,2,6,1,7,10,5,3,5,9,0,6,9,4,7,2,8,7,6,10,6
"459",3,6,3,8,4,3,2,3,6,6,12,7,4,4,6,5,4,4,4,7,6,6,4,5,5,6,7,6
"460",8,9,7,3,10,8,4,8,8,1,2,9,10,6,4,9,9,1,10,10,3,9,7,10,10,8,12,6
"461",7,7,5,4,5,2,4,4,6,5,4,7,2,4,8,3,5,4,6,4,4,9,6,9,9,7,10,3
"462",7,7,4,5,6,4,6,6,4,2,7,10,7,7,6,9,8,3,10,7,3,7,5,8,5,3,10,4
"463",7,5,7,2,6,4,5,5,10,1,1,9,7,10,3,5,9,2,9,6,5,9,6,10,11,6,12,7
"464",6,9,9,2,5,7,4,2,9,2,4,8,1,4,4,8,9,0,9,7,1,9,8,10,11,4,13,7
"465",8,9,6,9,5,6,9,6,4,6,5,7,6,6,5,7,5,5,8,10,4,7,7,7,10,4,12,3
"466",10,10,9,5,6,9,6,6,9,4,0,9,8,5,3,4,10,1,8,8,4,10,9,11,7,6,11,5
"467",5,7,8,6,6,4,9,7,4,4,9,6,1,4,7,3,7,4,7,3,4,5,6,4,6,6,9,3
"468",4,5,7,7,4,9,7,5,6,2,13,6,7,6,9,2,3,6,6,3,4,6,10,2,6,7,6,7
